st_X,st_Y,RUTA,TIPO,LONGITUD,spjoin_rif
-84.34144622,10.01587315,1,PRIMARIA,48.75,0
-84.34156004,10.01584022,1,PRIMARIA,48.75,0
-84.34177256,10.01580513,1,PRIMARIA,48.75,0
-84.34195688,10.01579811,1,PRIMARIA,48.75,0
-84.34268964,10.01575437,1,PRIMARIA,48.75,0
-84.34806368,10.01545083,1,PRIMARIA,48.75,0
-84.3491404,10.01541192,1,PRIMARIA,48.75,0
-84.34940077,10.0154119,1,PRIMARIA,48.75,0
-84.3495866,10.01541189,1,PRIMARIA,48.75,0
-84.35003935,10.01543535,1,PRIMARIA,48.75,0
-84.35097305,10.0155759,1,PRIMARIA,48.75,0
-84.35145804,10.01568139,1,PRIMARIA,48.75,0
-84.35186194,10.01578041,1,PRIMARIA,48.75,0
-84.35422494,10.01644307,1,PRIMARIA,48.75,0
-84.35462734,10.01665381,1,PRIMARIA,48.75,0
-84.35513551,10.0170289,1,PRIMARIA,48.75,0
-84.35622341,10.01829479,1,PRIMARIA,48.75,0
-84.35825774,10.02096663,1,PRIMARIA,48.75,0
-84.35864106,10.02181508,1,PRIMARIA,48.75,0
-84.35929036,10.02329797,1,PRIMARIA,48.75,0
-84.35978956,10.02460383,1,PRIMARIA,48.75,0
-84.35981331,10.02557645,1,PRIMARIA,48.75,0
-84.35980131,10.0266079,1,PRIMARIA,48.75,0
-84.35993133,10.0275573,1,PRIMARIA,48.75,0
-84.36025071,10.0284948,1,PRIMARIA,48.75,0
-84.36112618,10.03020598,1,PRIMARIA,48.75,0
-84.36126826,10.03082721,1,PRIMARIA,48.75,0
-84.36129198,10.03131946,1,PRIMARIA,48.75,0
-84.36118072,10.03189618,1,PRIMARIA,48.75,0
-84.36075024,10.03333329,1,PRIMARIA,48.75,0
-84.36049497,10.03419582,1,PRIMARIA,48.75,0
-84.36033238,10.0351617,1,PRIMARIA,48.75,0
-84.360344,10.03564477,1,PRIMARIA,48.75,0
-84.36037423,10.03576621,1,PRIMARIA,48.75,0
-84.36052993,10.03657608,1,PRIMARIA,48.75,0
-84.36076217,10.03730067,1,PRIMARIA,48.75,0
-84.36164424,10.03926715,1,PRIMARIA,48.75,0
-84.36198076,10.04018711,1,PRIMARIA,48.75,0
-84.36218029,10.04104285,1,PRIMARIA,48.75,0
-84.36233101,10.0424343,1,PRIMARIA,48.75,0
-84.36231948,10.04298619,1,PRIMARIA,48.75,0
-84.36218059,10.04432045,1,PRIMARIA,48.75,0
-84.36191394,10.04748283,1,PRIMARIA,48.75,0
-84.36149984,10.05210631,1,PRIMARIA,48.75,0
-84.36140576,10.05321469,1,PRIMARIA,48.75,0
-84.3612161,10.05578145,1,PRIMARIA,48.75,0
-84.36109981,10.05644859,1,PRIMARIA,48.75,0
-84.36058055,10.06255989,1,PRIMARIA,48.75,0
-84.36056901,10.0630775,1,PRIMARIA,48.75,0
-84.36063856,10.06354896,1,PRIMARIA,48.75,0
-84.36090557,10.06411243,1,PRIMARIA,48.75,0
-84.36117256,10.06456094,1,PRIMARIA,48.75,0
-84.36153223,10.06496329,1,PRIMARIA,48.75,0
-84.36183397,10.06522773,1,PRIMARIA,48.75,0
-84.36252457,10.06565083,1,PRIMARIA,48.75,0
-84.36279456,10.06571584,1,PRIMARIA,48.75,0
-84.36504108,10.06620949,1,PRIMARIA,48.75,0
-84.36586565,10.06645311,1,PRIMARIA,48.75,0
-84.36676228,10.06688319,1,PRIMARIA,48.75,0
-84.36728314,10.06729874,1,PRIMARIA,48.75,0
-84.36829567,10.06817301,1,PRIMARIA,48.75,0
-84.37055248,10.07027992,1,PRIMARIA,48.75,0
-84.37087087,10.07066688,1,PRIMARIA,48.75,0
-84.37111676,10.07132615,1,PRIMARIA,48.75,0
-84.37131949,10.07331859,1,PRIMARIA,48.75,0
-84.37149281,10.07373417,1,PRIMARIA,48.75,0
-84.37170995,10.07407823,1,PRIMARIA,48.75,0
-84.37212958,10.07442227,1,PRIMARIA,48.75,0
-84.37253459,10.07460843,1,PRIMARIA,48.75,0
-84.37286603,10.07466749,1,PRIMARIA,48.75,0
